time,signal_default,signal_max_1,signal_max_2,signal_min
02-Oct-2019 10:19:00,45.4,90,90,10
02-Oct-2019 10:20:00,44.1,90,90,10
02-Oct-2019 10:21:00,45.0,90,90,10
02-Oct-2019 10:22:00,45.1,90,90,10
02-Oct-2019 10:23:00,45.6,90,90,10
02-Oct-2019 10:24:00,45.3,90,90,10
02-Oct-2019 10:25:00,44.7,90,90,10
02-Oct-2019 10:26:00,45.4,90,90,10
02-Oct-2019 10:27:00,44.3,90,90,10
02-Oct-2019 10:28:00,44.4,90,90,10
02-Oct-2019 10:29:00,46.3,90,90,10
02-Oct-2019 10:30:00,44.0,90,90,10
02-Oct-2019 10:31:00,46.1,90,90,10
02-Oct-2019 10:32:00,45.3,90,90,10
02-Oct-2019 10:33:00,44.6,90,90,10
02-Oct-2019 10:34:00,45.1,90,90,10
02-Oct-2019 10:35:00,45.1,90,90,10
02-Oct-2019 10:36:00,45.5,90,90,10
02-Oct-2019 10:37:00,45.0,90,90,10
02-Oct-2019 10:38:00,43.5,90,90,10
02-Oct-2019 10:39:00,44.2,90,90,10
02-Oct-2019 10:40:00,44.7,90,90,10
02-Oct-2019 10:41:00,44.1,90,90,10
02-Oct-2019 10:42:00,44.6,90,90,10
02-Oct-2019 10:43:00,45.1,90,90,10
02-Oct-2019 10:44:00,43.7,90,90,10
02-Oct-2019 10:45:00,43.8,90,90,10
02-Oct-2019 10:46:00,45.9,90,90,10
02-Oct-2019 10:47:00,46.1,90,90,10
02-Oct-2019 10:48:00,46.6,90,90,10
02-Oct-2019 10:49:00,46.8,90,90,10
02-Oct-2019 10:50:00,46.5,90,90,10
02-Oct-2019 10:51:00,47.6,90,90,10
02-Oct-2019 10:52:00,46.3,90,90,10
02-Oct-2019 10:53:00,48.2,90,90,10
02-Oct-2019 10:54:00,49.9,90,90,10
02-Oct-2019 10:55:00,49.4,90,90,10
02-Oct-2019 10:56:00,47.6,90,90,10
02-Oct-2019 10:57:00,47.6,90,90,10
02-Oct-2019 10:58:00,48.9,90,90,10
02-Oct-2019 10:59:00,47.6,90,90,10
02-Oct-2019 11:00:00,47.5,90,90,10
02-Oct-2019 11:01:00,48.9,90,90,10
02-Oct-2019 11:02:00,47.3,90,90,10
02-Oct-2019 11:03:00,47.0,90,90,10
02-Oct-2019 11:04:00,48.4,90,90,10
02-Oct-2019 11:05:00,48.4,90,90,10
02-Oct-2019 11:06:00,48.1,90,90,10
02-Oct-2019 11:07:00,47.7,90,90,10
02-Oct-2019 11:08:00,47.8,90,90,10
02-Oct-2019 11:09:00,48.0,90,90,10
02-Oct-2019 11:10:00,48.6,90,90,10
02-Oct-2019 11:11:00,47.6,90,90,10
02-Oct-2019 11:12:00,47.1,90,90,10
02-Oct-2019 11:13:00,48.0,90,90,10
02-Oct-2019 11:14:00,48.0,90,90,10
02-Oct-2019 11:15:00,46.9,90,90,10
02-Oct-2019 11:16:00,48.9,90,90,10
02-Oct-2019 11:17:00,48.5,90,90,10
02-Oct-2019 11:18:00,48.4,90,90,10
02-Oct-2019 11:19:00,49.1,90,90,10
02-Oct-2019 11:20:00,49.9,90,90,10
02-Oct-2019 11:21:00,48.5,90,90,10
02-Oct-2019 11:22:00,48.1,90,90,10
02-Oct-2019 11:23:00,49.4,90,90,10
02-Oct-2019 11:24:00,48.8,90,90,10
02-Oct-2019 11:25:00,48.7,90,90,10
02-Oct-2019 11:26:00,49.1,90,90,10
02-Oct-2019 11:27:00,49.7,90,90,10
02-Oct-2019 11:28:00,48.7,90,90,10
02-Oct-2019 11:29:00,48.6,90,90,10
02-Oct-2019 11:30:00,49.0,90,90,10
02-Oct-2019 11:31:00,47.8,90,90,10
02-Oct-2019 11:32:00,48.3,90,90,10
02-Oct-2019 11:33:00,48.0,90,90,10
02-Oct-2019 11:34:00,46.5,90,90,10
02-Oct-2019 11:35:00,49.0,90,90,10
02-Oct-2019 11:36:00,48.1,90,90,10
02-Oct-2019 11:37:00,48.2,90,90,10
02-Oct-2019 11:38:00,48.1,90,90,10
02-Oct-2019 11:39:00,48.2,90,90,10
02-Oct-2019 11:40:00,47.9,90,90,10
02-Oct-2019 11:41:00,48.4,90,90,10
02-Oct-2019 11:42:00,47.9,90,90,10
02-Oct-2019 11:43:00,48.8,90,90,10
02-Oct-2019 11:44:00,47.4,90,90,10
02-Oct-2019 11:45:00,47.4,90,90,10
02-Oct-2019 11:46:00,47.9,90,90,10
02-Oct-2019 11:47:00,47.9,90,90,10
02-Oct-2019 11:48:00,48.4,90,90,10
02-Oct-2019 11:49:00,49.4,90,90,10
02-Oct-2019 11:50:00,48.0,90,90,10
02-Oct-2019 11:51:00,47.4,90,90,10
02-Oct-2019 11:52:00,48.8,90,90,10
02-Oct-2019 11:53:00,47.5,90,90,10
02-Oct-2019 11:54:00,47.9,90,90,10
02-Oct-2019 11:55:00,49.7,90,90,10
02-Oct-2019 11:56:00,50.6,90,90,10
02-Oct-2019 11:57:00,50.8,90,90,10
02-Oct-2019 11:58:00,51.6,90,90,10
02-Oct-2019 11:59:00,51.1,90,90,10
02-Oct-2019 12:00:00,52.0,90,90,10
02-Oct-2019 12:01:00,53.5,90,90,10
02-Oct-2019 12:02:00,54.6,90,90,10
02-Oct-2019 12:03:00,56.3,90,90,10
02-Oct-2019 12:04:00,58.8,90,90,10
02-Oct-2019 12:05:00,59.7,90,90,10
02-Oct-2019 12:06:00,61.3,90,90,10
02-Oct-2019 12:07:00,59.9,90,90,10
02-Oct-2019 12:08:00,61.1,90,90,10
02-Oct-2019 12:09:00,60.7,90,90,10
02-Oct-2019 12:10:00,61.6,90,90,10
02-Oct-2019 12:11:00,60.0,90,90,10
02-Oct-2019 12:12:00,60.4,90,90,10
02-Oct-2019 12:13:00,57.9,90,90,10
02-Oct-2019 12:14:00,60.5,90,90,10
02-Oct-2019 12:15:00,58.5,90,90,10
02-Oct-2019 12:16:00,59.0,90,90,10
02-Oct-2019 12:17:00,57.8,90,90,10
02-Oct-2019 12:18:00,58.9,90,90,10
02-Oct-2019 12:19:00,57.8,90,90,10
02-Oct-2019 12:20:00,58.4,90,90,10
02-Oct-2019 12:21:00,58.3,90,90,10
02-Oct-2019 12:22:00,57.7,90,90,10
02-Oct-2019 12:23:00,57.5,90,90,10
02-Oct-2019 12:24:00,57.5,90,90,10
02-Oct-2019 12:25:00,57.9,90,90,10
02-Oct-2019 12:26:00,59.1,90,90,10
02-Oct-2019 12:27:00,57.2,90,90,10
02-Oct-2019 12:28:00,59.3,90,90,10
02-Oct-2019 12:29:00,58.6,90,90,10
02-Oct-2019 12:30:00,58.0,90,90,10
02-Oct-2019 12:31:00,59.6,90,90,10
02-Oct-2019 12:32:00,57.9,90,90,10
02-Oct-2019 12:33:00,59.0,90,90,10
02-Oct-2019 12:34:00,58.0,90,90,10
02-Oct-2019 12:35:00,58.5,90,90,10
02-Oct-2019 12:36:00,57.7,90,90,10
02-Oct-2019 12:37:00,57.5,90,90,10
02-Oct-2019 12:38:00,58.4,90,90,10
02-Oct-2019 12:39:00,59.0,90,90,10
02-Oct-2019 12:40:00,59.0,90,90,10
02-Oct-2019 12:41:00,57.8,90,90,10
02-Oct-2019 12:42:00,57.2,90,90,10
02-Oct-2019 12:43:00,58.4,90,90,10
02-Oct-2019 12:44:00,57.4,90,90,10
02-Oct-2019 12:45:00,56.9,90,90,10
02-Oct-2019 12:46:00,58.7,90,90,10
02-Oct-2019 12:47:00,58.0,90,90,10
02-Oct-2019 12:48:00,58.5,90,90,10
02-Oct-2019 12:49:00,58.1,90,90,10
02-Oct-2019 12:50:00,57.5,90,90,10
02-Oct-2019 12:51:00,58.8,90,90,10
02-Oct-2019 12:52:00,58.0,90,90,10
02-Oct-2019 12:53:00,59.2,90,90,10
02-Oct-2019 12:54:00,58.6,90,90,10
02-Oct-2019 12:55:00,59.0,90,90,10
02-Oct-2019 12:56:00,57.8,90,90,10
02-Oct-2019 12:57:00,58.8,90,90,10
02-Oct-2019 12:58:00,58.8,90,90,10
02-Oct-2019 12:59:00,57.2,90,90,10
02-Oct-2019 13:00:00,58.0,90,90,10
02-Oct-2019 13:01:00,56.9,90,90,10
02-Oct-2019 13:02:00,58.8,90,90,10
02-Oct-2019 13:03:00,57.9,90,90,10
02-Oct-2019 13:04:00,59.0,90,90,10
02-Oct-2019 13:05:00,58.2,90,90,10
02-Oct-2019 13:06:00,58.1,90,90,10
02-Oct-2019 13:07:00,57.0,90,90,10
02-Oct-2019 13:08:00,55.7,90,90,10
02-Oct-2019 13:09:00,57.1,90,90,10
02-Oct-2019 13:10:00,57.8,90,90,10
02-Oct-2019 13:11:00,55.5,90,90,10
02-Oct-2019 13:12:00,57.6,90,90,10
02-Oct-2019 13:13:00,57.0,90,90,10
02-Oct-2019 13:14:00,58.7,90,90,10
02-Oct-2019 13:15:00,58.9,90,90,10
02-Oct-2019 13:16:00,58.4,90,90,10
02-Oct-2019 13:17:00,58.9,90,90,10
02-Oct-2019 13:18:00,56.8,90,90,10
02-Oct-2019 13:19:00,58.4,90,90,10
02-Oct-2019 13:20:00,58.5,90,90,10
02-Oct-2019 13:21:00,58.1,90,90,10
02-Oct-2019 13:22:00,57.5,90,90,10
02-Oct-2019 13:23:00,58.1,90,90,10
02-Oct-2019 13:24:00,58.7,90,90,10
02-Oct-2019 13:25:00,59.5,90,90,10
02-Oct-2019 13:26:00,59.0,90,90,10
02-Oct-2019 13:27:00,60.8,90,90,10
02-Oct-2019 13:28:00,60.1,90,90,10
02-Oct-2019 13:29:00,60.1,90,90,10
02-Oct-2019 13:30:00,57.8,90,90,10
02-Oct-2019 13:31:00,60.9,90,90,10
02-Oct-2019 13:32:00,61.0,90,90,10
02-Oct-2019 13:33:00,59.0,90,90,10
02-Oct-2019 13:34:00,59.6,90,90,10
02-Oct-2019 13:35:00,61.1,90,90,10
02-Oct-2019 13:36:00,59.8,90,90,10
02-Oct-2019 13:37:00,60.1,90,90,10
02-Oct-2019 13:38:00,60.0,90,90,10
02-Oct-2019 13:39:00,61.6,90,90,10
02-Oct-2019 13:40:00,61.6,90,90,10
02-Oct-2019 13:41:00,60.1,90,90,10
02-Oct-2019 13:42:00,60.5,90,90,10
02-Oct-2019 13:43:00,60.8,90,90,10
02-Oct-2019 13:44:00,60.9,90,90,10
02-Oct-2019 13:45:00,60.8,90,90,10
02-Oct-2019 13:46:00,58.4,90,90,10
02-Oct-2019 13:47:00,59.0,90,90,10
02-Oct-2019 13:48:00,60.2,90,90,10
02-Oct-2019 13:49:00,59.2,90,90,10
02-Oct-2019 13:50:00,60.2,90,90,10
02-Oct-2019 13:51:00,59.7,90,90,10
02-Oct-2019 13:52:00,60.5,90,90,10
02-Oct-2019 13:53:00,57.4,90,90,10
02-Oct-2019 13:54:00,59.8,90,90,10
02-Oct-2019 13:55:00,60.3,90,90,10
02-Oct-2019 13:56:00,58.9,90,90,10
02-Oct-2019 13:57:00,60.5,90,90,10
02-Oct-2019 13:58:00,60.5,90,90,10
02-Oct-2019 13:59:00,60.3,90,90,10
02-Oct-2019 14:00:00,58.6,90,90,10
02-Oct-2019 14:01:00,60.7,90,90,10
02-Oct-2019 14:02:00,59.9,90,90,10
02-Oct-2019 14:03:00,59.9,90,90,10
02-Oct-2019 14:04:00,60.2,90,90,10
02-Oct-2019 14:05:00,59.6,90,90,10
02-Oct-2019 14:06:00,59.5,90,90,10
02-Oct-2019 14:07:00,61.3,90,90,10
02-Oct-2019 14:08:00,60.1,90,90,10
02-Oct-2019 14:09:00,59.3,90,90,10
02-Oct-2019 14:10:00,59.3,90,90,10
02-Oct-2019 14:11:00,60.8,90,90,10
02-Oct-2019 14:12:00,60.6,90,90,10
02-Oct-2019 14:13:00,62.1,90,90,10
02-Oct-2019 14:14:00,59.4,90,90,10
02-Oct-2019 14:15:00,59.5,90,90,10
02-Oct-2019 14:16:00,60.2,90,90,10
02-Oct-2019 14:17:00,57.2,90,90,10
02-Oct-2019 14:18:00,61.1,90,90,10
02-Oct-2019 14:19:00,62.3,90,90,10
02-Oct-2019 14:20:00,61.8,90,90,10
02-Oct-2019 14:21:00,58.6,90,90,10
02-Oct-2019 14:22:00,58.4,90,90,10
02-Oct-2019 14:23:00,56.1,90,90,10
02-Oct-2019 14:24:00,60.3,90,90,10
02-Oct-2019 14:25:00,60.8,90,90,10
02-Oct-2019 14:26:00,60.3,90,90,10
02-Oct-2019 14:27:00,59.5,90,90,10
02-Oct-2019 14:28:00,58.1,90,90,10
02-Oct-2019 14:29:00,53.1,90,90,10
02-Oct-2019 14:30:00,54.2,90,90,10
02-Oct-2019 14:31:00,52.9,90,90,10
02-Oct-2019 14:32:00,51.2,90,90,10
02-Oct-2019 14:33:00,52.2,90,90,10
02-Oct-2019 14:34:00,51.7,90,90,10
02-Oct-2019 14:35:00,49.8,90,90,10
02-Oct-2019 14:36:00,48.4,90,90,10
02-Oct-2019 14:37:00,45.1,90,90,10
02-Oct-2019 14:38:00,40.6,90,90,10
02-Oct-2019 14:39:00,40.1,90,90,10
02-Oct-2019 14:40:00,39.9,90,90,10
02-Oct-2019 14:41:00,38.0,90,90,10
02-Oct-2019 14:42:00,38.9,90,90,10
02-Oct-2019 14:43:00,39.1,90,90,10
02-Oct-2019 14:44:00,37.2,90,90,10
02-Oct-2019 14:45:00,38.2,90,90,10
02-Oct-2019 14:46:00,36.5,90,90,10
02-Oct-2019 14:47:00,37.5,90,90,10
02-Oct-2019 14:48:00,38.6,90,90,10
02-Oct-2019 14:49:00,37.6,90,90,10
02-Oct-2019 14:50:00,37.0,90,90,10
02-Oct-2019 14:51:00,37.9,90,90,10
02-Oct-2019 14:52:00,38.3,90,90,10
02-Oct-2019 14:53:00,38.7,90,90,10
02-Oct-2019 14:54:00,37.5,90,90,10
02-Oct-2019 14:55:00,37.3,90,90,10
02-Oct-2019 14:56:00,37.6,90,90,10
02-Oct-2019 14:57:00,37.0,90,90,10
02-Oct-2019 14:58:00,36.4,90,90,10
02-Oct-2019 14:59:00,37.3,90,90,10
